reconstruction_loss,quantization_name,beta,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,best/MSELoss,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.5,None,constant,1.0,0.00404511159285903,4.984284400939941,0.0008883007685653865,7.535763143096119e-05,0.003855750197544694,4.997981071472168,0.0009251104784198105,7.830015965737402e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.5,None,cos,1.0,0.003616341622546315,5.4176483154296875,0.0029887238051742315,0.0002528266631998122,0.0035623011644929647,5.407334327697754,0.0029241954907774925,0.0002472338965162635
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.5,None,cos,1.0,0.0038226901087909937,5.166114807128906,0.0017032077303156257,0.00014418456703424454,0.003728987881913781,5.15663480758667,0.001652529463171959,0.0001400413311785087
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.5,None,cos,1.0,0.0038020850624889135,5.119935035705566,0.0009117304580286145,7.703489973209798e-05,0.0037534423172473907,5.105804443359375,0.0009261918603442609,7.820152677595615e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,0.5,None,linear,1.0,0.0034950957633554935,5.416561603546143,0.005224283318966627,0.00041986635187640786,0.0034449142403900623,5.426118850708008,0.0051427558064460754,0.00041402337956242263
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,0.5,None,linear,1.0,0.003960852976888418,4.9935526847839355,0.0018737349892035127,0.00015831258497200906,0.0038078082725405693,4.98599910736084,0.0018493301467970014,0.000156365247676149
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,0.5,None,linear,1.0,0.003917330875992775,4.954801559448242,0.0009579705074429512,8.104411244858056e-05,0.003857887117192149,4.942317962646484,0.0009376932866871357,7.942478987388313e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,256.0,1.0,None,constant,1.0,0.00385769410058856,5.437794208526611,0.0030976601410657167,0.0004566592979244888,0.003631629515439272,5.432897090911865,0.0030678496696054935,0.00045089691411703825
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,16.0,256.0,1.0,None,constant,1.0,0.0038015826139599085,5.439907550811768,0.0015313916373997927,0.00023000582586973906,0.0036219023168087006,5.402054309844971,0.0014090933836996555,0.0002140469296136871
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,16.0,256.0,1.0,None,constant,1.0,0.003966866992413998,5.131772041320801,0.0008308242540806532,0.00012456855620257556,0.003796070348471403,5.132150650024414,0.0008191997185349464,0.00012341351248323917
