reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,2.0,None,linear,1.0,6.0,0.005650704260915518,6.0324811935424805,0.0004309515352360904,1.710662581899669e-05,0.0,0.0,0.0,0.0,0.004641339648514986,6.061065673828125
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004381618928164244,6.1339616775512695,0.0004462167271412909,1.5779747627675533e-05,0.0,0.0,0.0,0.0,0.004303904250264168,6.110812187194824
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004612737335264683,6.096866607666016,0.000369915331248194,1.4020721209817566e-05,0.0,0.0,0.0,0.0,0.004324303939938545,6.101995468139648
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004376353695988655,6.124570846557617,0.0004123897524550557,1.5005874047346879e-05,0.0,0.0,0.0,0.0,0.00428821099922061,6.1123881340026855
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004404551815241575,6.122131824493408,0.00042890518670901656,1.575943133502733e-05,0.0,0.0,0.0,0.0,0.004345394670963287,6.089831829071045
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004464577883481979,6.088973045349121,0.0003718135121744126,1.4236412425816525e-05,0.0,0.0,0.0,0.0,0.004314888268709183,6.0913519859313965
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004586306866258383,6.128774166107178,0.00041930688894353807,1.547232568555046e-05,0.0,0.0,0.0,0.0,0.004328594543039799,6.109398365020752
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,3.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004430373664945364,6.110543251037598,0.000408485735533759,1.5407995306304656e-05,0.0,0.0,0.0,0.0,0.00435218820348382,6.096433162689209
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,3.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.005060472991317511,6.125613212585449,0.00043602907680906355,1.5952535250107758e-05,0.0,0.0,0.0,0.0,0.004317748825997114,6.097367286682129
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,3.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004929923452436924,6.118533134460449,0.0004291828954592347,1.5816523955436423e-05,0.0,0.0,0.0,0.0,0.0043610879220068455,6.109827995300293
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.005225966684520245,6.131612777709961,0.0004864264919888228,1.7293823475483805e-05,0.0,0.0,0.0,0.0,0.004393661394715309,6.112178802490234
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.004759898409247398,6.097137451171875,0.0004227653844282031,1.5782292393851094e-05,0.0,0.0,0.0,0.0,0.004367937333881855,6.10331916809082
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.005313537549227476,6.107404708862305,0.0004273155645933002,1.6007887097657658e-05,0.0,0.0,0.0,0.0,0.004384688101708889,6.096205234527588
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,5.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.005058263894170523,6.100998401641846,0.0004260455025359988,1.603119380888529e-05,0.0,0.0,0.0,0.0,0.0043864622712135315,6.10870885848999
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,5.0,2.0,512.0,2.0,None,linear,1.0,0.0,0.0046205357648432255,6.103041648864746,0.0004084753745701164,1.5536028513452038e-05,0.0,0.0,0.0,0.0,0.0043870736844837666,6.096738815307617
