reconstruction_loss,quantization_name,beta,in_features,codebook_size,research_mode,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,1024.0,1.0,0.008117472752928734,6.8209991455078125,1.9032106138183735e-05,4.795348900188401e-07,0.007516121491789818,6.828111171722412,4.480612005863804e-06,2.462440988892922e-07,0.007516121491789818,6.828111171722412,4.480612005863804e-06,2.462440988892922e-07
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,128.0,1024.0,1.0,0.0028160365764051676,6.818965911865234,0.0026538046076893806,0.0014341843780130148,0.002815535757690668,6.827780246734619,0.00268134125508368,0.001449705334380269,0.002815535757690668,6.827780246734619,0.00268134125508368,0.001449705334380269
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,16.0,1024.0,1.0,0.002924383617937565,6.808874607086182,0.0027440229896456003,0.0001863916841102764,0.0028279810212552547,6.818210601806641,0.0028715855441987514,0.00019278396212030202,0.0028279810212552547,6.818210601806641,0.0028715855441987514,0.00019278396212030202
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,1024.0,1.0,0.004414902534335852,6.791363716125488,0.0002521419373806566,4.896923201158643e-06,0.0041765691712498665,6.772315979003906,0.00021965682390145957,4.288677246222505e-06,0.0041765691712498665,6.772315979003906,0.00021965682390145957,4.288677246222505e-06
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,32.0,1024.0,1.0,0.0029048887081444263,6.826843738555908,0.002929355250671506,0.00038905302062630653,0.0028473613783717155,6.813024520874023,0.0028530966956168413,0.0003802659339271486,0.0028473613783717155,6.813024520874023,0.0028530966956168413,0.0003802659339271486
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,4.0,1024.0,1.0,0.002917688339948654,6.811523914337158,0.0026937376242130995,4.6212149754865095e-05,0.002821472007781267,6.814072132110596,0.0026987106539309025,4.6400498831644654e-05,0.002821472007781267,6.814072132110596,0.0026987106539309025,4.6400498831644654e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,64.0,1024.0,1.0,0.002846289658918977,6.819338321685791,0.0027375509962439537,0.0007352561224251986,0.0028045212384313345,6.815310478210449,0.0027124781627207994,0.0007290592766366899,0.0028045212384313345,6.815310478210449,0.0027124781627207994,0.0007290592766366899
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,8.0,1024.0,1.0,0.0032864634413272142,6.522329330444336,0.00149146921467036,6.442021549446508e-05,0.0031826740596443415,6.516468048095703,0.0014324019430205226,6.243094685487449e-05,0.0031826740596443415,6.516468048095703,0.0014324019430205226,6.243094685487449e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,1.0,128.0,1.0,0.008016722276806831,4.755504131317139,4.6719313104404137e-05,1.4190814908943139e-05,0.007631712127476931,4.735909461975098,3.429479693295434e-05,1.2925504051963799e-05,0.007631712127476931,4.735909461975098,3.429479693295434e-05,1.2925504051963799e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,128.0,128.0,1.0,0.004162776283919811,4.805978775024414,0.0051169442012906075,0.02290347032248974,0.0040495735593140125,4.790506362915039,0.00460707675665617,0.021226894110441208,0.0040495735593140125,4.790506362915039,0.00460707675665617,0.021226894110441208
